soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC Title
11-0000,Transportation Managers,1055,"Prepare management recommendations, such as proposed fee and tariff increases or schedule changes.",Core,98.0,07/2014,Incumbent,Management Occupations
11-0000,Transportation Managers,1039,Direct investigations to verify and resolve customer or shipper complaints.,Core,96.0,07/2014,Incumbent,Management Occupations
11-0000,Transportation Managers,20466,"Direct or coordinate the activities of operations department to obtain use of equipment, facilities, or human resources.",Core,96.0,07/2014,Incumbent,Management Occupations
11-0000,Transportation Managers,1050,"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",Core,96.0,07/2014,Incumbent,Management Occupations
11-0000,Transportation Managers,1042,"Collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives.",Core,96.0,07/2014,Incumbent,Management Occupations
11-0000,Transportation Managers,19510,"Plan or implement energy saving changes to transportation services, such as reducing routes, optimizing capacities, employing alternate modes of transportation, or minimizing idling.",Core,97.0,07/2014,Incumbent,Management Occupations
11-0000,Transportation Managers,20467,"Direct staff performing repairs and maintenance to equipment, vehicles, or facilities.",Core,97.0,07/2014,Incumbent,Management Occupations
11-0000,Transportation Managers,1056,"Conduct employee training sessions on subjects such as hazardous material handling, employee orientation, quality improvement, or computer use.",Core,96.0,07/2014,Incumbent,Management Occupations
11-0000,Transportation Managers,1054,Recommend or authorize capital expenditures for acquisition of new equipment or property to increase efficiency and services of operations department.,Core,96.0,07/2014,Incumbent,Management Occupations
11-0000,Storage and Distribution Managers,3304,Prepare and manage departmental budgets.,Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3291,"Supervise the activities of workers engaged in receiving, storing, testing, and shipping products or materials.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3295,"Interview, select, and train warehouse and supervisory personnel.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3292,"Plan, develop, or implement warehouse safety and security programs and activities.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3305,"Prepare or direct preparation of correspondence, reports, and operations, maintenance, and safety manuals.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3302,Issue shipping instructions and provide routing information to ensure that delivery times and locations are coordinated.,Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3296,"Confer with department heads to coordinate warehouse activities, such as production, sales, records control, or purchasing.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3293,"Review invoices, work orders, consumption reports, or demand forecasts to estimate peak delivery periods and to issue work assignments.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3298,"Inspect physical conditions of warehouses, vehicle fleets, or equipment and order testing, maintenance, repairs, or replacements.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3294,"Schedule or monitor air or surface pickup, delivery, or distribution of products or materials.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3297,Respond to customers' or shippers' questions and complaints regarding storage and distribution services.,Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3299,"Develop and document standard and emergency operating procedures for receiving, handling, storing, shipping, or salvaging products or materials.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3312,"Develop or implement plans for facility modification or expansion, such as equipment purchase or changes in space allocation or structural design.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Storage and Distribution Managers,3310,"Track and trace goods while they are en route to their destinations, expediting orders when necessary.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15740,"Resolve problems concerning transportation, logistics systems, imports or exports, or customer issues.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15752,"Collaborate with other departments to integrate logistics with business systems or processes, such as customer sales, order management, accounting, or shipping.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15737,"Maintain metrics, reports, process documentation, customer service logs, or training or safety records.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15754,"Supervise the work of logistics specialists, planners, or schedulers.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15756,"Direct inbound or outbound logistics operations, such as transportation or warehouse activities, safety performance, or logistics quality management.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,19987,"Direct or coordinate comprehensive logistical or reverse logistical functions for product life cycles, including acquisition, distribution, internal allocation, delivery, recycling, reuse, or final disposal of resources.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,19988,Negotiate with suppliers or customers to improve supply chain efficiency or sustainability.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15749,"Direct distribution center operation to ensure achievement of cost, productivity, accuracy, or timeliness objectives.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15745,Negotiate transportation rates or services.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15753,"Analyze the financial impact of proposed logistics changes, such as routing, shipping modes, product volumes or mixes, or carriers.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15743,"Recommend optimal transportation modes, routing, equipment, or frequency.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15746,Monitor product import or export processes to ensure compliance with regulatory or legal requirements.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15744,"Participate in carrier management processes, such as selection, qualification, or performance evaluation.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15741,Develop risk management programs to ensure continuity of supply in emergency scenarios.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15742,Plan or implement improvements to internal or external logistics systems or processes.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15755,Plan or implement material flow management systems to meet production requirements.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15757,Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15751,Create policies or procedures for logistics activities.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,19989,"Communicate freight transportation information to customers or suppliers, using transportation management, electronic logistics marketplace, or electronic freight information systems, to improve efficiency, speed, or quality of transportation services.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15747,Establish or monitor specific supply chain-based performance measurement systems.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15739,"Implement specific customer requirements, such as internal reporting or customized transportation metrics.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15748,Ensure carrier compliance with company policies or procedures for product transit or delivery.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,15736,Train shipping department personnel in roles or responsibilities regarding global logistics strategies.,Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Logistics Managers,19990,"Review global, national, or regional transportation or logistics reports for ways to improve efficiency or minimize the environmental impact of logistics activities.",Core,23.0,07/2011,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3272,"Design, evaluate and modify benefits policies to ensure that programs are current, competitive and in compliance with legal requirements.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3273,"Analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3276,"Fulfill all reporting requirements of all relevant government rules and regulations, including the Employee Retirement Income Security Act (ERISA).",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3267,"Direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3268,"Administer, direct, and review employee benefit programs, including the integration of benefit programs following mergers and acquisitions.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3270,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3271,"Identify and implement benefits to increase the quality of life for employees, by working with brokers and researching benefits issues.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3285,"Manage the design and development of tools to assist employees in benefits selection, and to guide managers through compensation decisions.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3283,"Prepare detailed job descriptions and classification systems and define job levels and families, in partnership with other managers.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3287,Prepare budgets for personnel operations.,Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3274,"Formulate policies, procedures and programs for recruitment, testing, placement, classification, orientation, benefits and compensation, and labor and industrial relations.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3275,"Mediate between benefits providers and employees, such as by assisting in handling employees' benefits-related questions or taking suggestions.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3279,"Develop methods to improve employment policies, processes, and practices, and recommend changes to management.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3290,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Compensation and Benefits Managers,3277,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,990,"Serve as a link between management and employees by handling questions, interpreting and administering contracts and helping resolve work-related problems.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,988,Analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,987,"Advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,986,"Perform difficult staffing duties, including dealing with understaffing, refereeing disputes, firing employees, and administering disciplinary procedures.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,989,Plan and conduct new employee orientation to foster positive attitude toward organizational objectives.,Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,983,"Identify staff vacancies and recruit, interview and select applicants.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,991,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,995,"Plan, organize, direct, control or coordinate the personnel, training, or labor relations activities of an organization.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,998,Represent organization at personnel-related hearings and investigations.,Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,982,"Administer compensation, benefits and performance management systems, and safety and recreation programs.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,985,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion and employee benefits.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,994,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,1001,Prepare and follow budgets for personnel operations.,Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,993,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,992,"Analyze training needs to design employee development, language training and health and safety programs.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,996,Conduct exit interviews to identify reasons for employee termination.,Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,1003,"Oversee the evaluation, classification and rating of occupations and job positions.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,1000,Prepare personnel forecast to project employment needs.,Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,1004,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,984,"Allocate human resources, ensuring appropriate matches between personnel.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Human Resources Managers,1005,"Develop or administer special projects in areas such as pay equity, savings bond programs, day-care, and employee awards.",Core,22.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1019,Prepare training budget for department or organization.,Core,23.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1009,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1015,Analyze training needs to develop new training programs or modify and improve existing programs.,Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1011,Conduct or arrange for ongoing technical training and personal development classes for staff members.,Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1014,"Plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1008,Conduct orientation sessions and arrange on-the-job training for new hires.,Core,23.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1012,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",Core,23.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1017,Train instructors and supervisors in techniques and skills for training and dealing with employees.,Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1013,"Develop and organize training manuals, multimedia visual aids, and other educational materials.",Core,24.0,06/2008,Occupational Expert,Management Occupations
11-0000,Training and Development Managers,1010,Develop testing and evaluation procedures.,Core,23.0,06/2008,Occupational Expert,Management Occupations
11-0000,Nursery and Greenhouse Managers,12811,"Manage nurseries that grow horticultural plants for sale to trade or retail customers, for display or exhibition, or for research.",Core,91.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12812,"Identify plants as well as problems such as diseases, weeds, and insect pests.",Core,91.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12813,"Tour work areas to observe work being done, to inspect crops, and to evaluate plant and soil conditions.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12814,"Assign work schedules and duties to nursery or greenhouse staff, and supervise their work.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12815,"Determine plant growing conditions, such as greenhouses, hydroponics, or natural settings, and set planting and care schedules.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12816,Apply pesticides and fertilizers to plants.,Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12817,"Hire employees, and train them in gardening techniques.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12818,"Select and purchase seeds, plant nutrients, disease control chemicals, and garden and lawn care equipment.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12819,"Determine types and quantities of horticultural plants to be grown, based on budgets, projected sales volumes, or executive directives.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12820,Explain and enforce safety regulations and policies.,Core,91.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12821,"Position and regulate plant irrigation systems, and program environmental and irrigation control computers.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12822,"Inspect facilities and equipment for signs of disrepair, and perform necessary maintenance work.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12823,"Coordinate clerical, record-keeping, inventory, requisitioning, and marketing activities.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12824,"Prepare soil for planting, and plant or transplant seeds, bulbs, and cuttings.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12825,Confer with horticultural personnel to plan facility renovations or additions.,Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12826,"Cut and prune trees, shrubs, flowers, and plants.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12827,"Provide information to customers on the care of trees, shrubs, flowers, plants, and lawns.",Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Nursery and Greenhouse Managers,12828,Construct structures and accessories such as greenhouses and benches.,Core,92.0,06/2007,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18826,Inspect orchards or fields to determine crop maturity or condition or to detect disease or insect infestation.,Core,68.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18804,"Direct crop production operations, such as planning, tilling, planting, fertilizing, cultivating, spraying, or harvesting.",Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18810,"Monitor activities such as irrigation, chemical application, harvesting, milking, breeding, or grading to ensure adherence to safety regulations or standards.",Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18816,Plan crop activities based on factors such as crop maturity or weather conditions.,Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18809,"Maintain financial, operational, production, or employment records for farms or ranches.",Core,70.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18805,"Direct the breeding or raising of stock, such as cattle, poultry, or honeybees, using recognized breeding practices to ensure stock improvement.",Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18813,"Obtain financing necessary for purchases of machinery, land, supplies, or livestock.",Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18825,Inspect farm or ranch equipment to ensure proper functioning.,Core,70.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18812,"Negotiate with buyers for the sale, storage, or shipment of crops or livestock.",Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18821,Analyze soil to determine types or quantities of fertilizer required for maximum crop production.,Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18806,Evaluate marketing or sales alternatives for farm or ranch products.,Core,70.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18817,Prepare budgets or financial reports for farm or ranch operations.,Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18803,"Determine types or quantities of crops or livestock to be raised, according to factors such as market conditions, federal programs or incentives, or soil conditions.",Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18823,"Demonstrate or explain working techniques, practices, or safety regulations to farm or ranch workers.",Core,68.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18807,"Hire, train, or supervise workers engaged in planting, cultivating, irrigating, harvesting, or marketing crops, or in raising livestock.",Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18818,"Select or purchase machinery, equipment, livestock, or supplies, such as seed, feed, fertilizer, or chemicals.",Core,70.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18820,Analyze market conditions to determine acreage allocations.,Core,69.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18808,"Inspect farm or ranch structures, such as buildings, fences, or roads, ordering repair or maintenance activities, as needed.",Core,70.0,07/2014,Incumbent,Management Occupations
11-0000,Farm and Ranch Managers,18819,"Supervise the construction of farm or ranch structures, such as buildings, fences, drainage systems, wells, or roads.",Core,70.0,07/2014,Incumbent,Management Occupations
11-0000,Aquacultural Managers,10810,Grow fish and shellfish as cash crops or for release into freshwater or saltwater.,Core,30.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10811,Supervise and train aquaculture and fish hatchery support workers.,Core,30.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10812,"Collect and record growth, production, and environmental data.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10813,Conduct and supervise stock examinations to identify diseases or parasites.,Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10814,Account for and disburse funds.,Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10815,"Devise and participate in activities to improve fish hatching and growth rates, and to prevent disease in hatcheries.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10816,Monitor environments to ensure maintenance of optimum conditions for aquatic life.,Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10817,"Direct and monitor trapping and spawning of fish, egg incubation, and fry rearing, applying knowledge of management and fish culturing techniques.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10818,Coordinate the selection and maintenance of brood stock.,Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10819,"Direct and monitor the transfer of mature fish to lakes, ponds, streams, or commercial tanks.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10820,"Determine, administer, and execute policies relating to operations administration and standards, and facility maintenance.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10821,"Collect information regarding techniques for fish collection and fertilization, spawn incubation, and treatment of spawn and fry.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10822,"Determine how to allocate resources and to respond to unanticipated problems, such as insect infestation, drought, and fire.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10823,Operate and maintain cultivating and harvesting equipment.,Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10824,"Confer with biologists, fish pathologists, and other fishery personnel to obtain data concerning fish habits, diseases, food, and environmental requirements.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10825,Prepare reports required by state and federal laws.,Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Aquacultural Managers,10826,"Identify environmental requirements of a particular species, and select and oversee the preparation of sites for species cultivation.",Core,31.0,12/2006,Occupational Expert,Management Occupations
11-0000,Construction Managers,3314,"Confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,20332,"Plan, schedule, or coordinate construction project activities to meet deadlines.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,3326,"Prepare and submit budget estimates, progress reports, or cost tracking reports.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,3318,"Inspect or review projects to monitor compliance with building and safety codes, or other regulations.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,19522,Inspect or review projects to monitor compliance with environmental regulations.,Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,3315,"Plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,3323,Study job specifications to determine appropriate construction methods.,Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,20333,"Investigate damage, accidents, or delays at construction sites to ensure that proper construction procedures are being followed.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,20334,"Prepare contracts or negotiate revisions to contractual agreements with architects, consultants, clients, suppliers, or subcontractors.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,3327,Develop or implement quality control programs.,Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,19520,Develop or implement environmental protection programs.,Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,20335,"Implement new or modified plans in response to delays, bad weather, or construction site emergencies.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,20336,"Interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,19523,"Perform or contract others to perform prebuilding assessments, such as conceptual cost estimating, rough order of magnitude estimating, feasibility, or energy efficiency, environmental, and sustainability assessments.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,20337,Apply for and obtain all necessary permits or licenses.,Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,20338,"Evaluate construction methods and determine cost-effectiveness of plans, using computer models.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,Construction Managers,20339,"Contract or oversee craft work, such as painting or plumbing.",Core,25.0,07/2013,Occupational Expert,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5196,Monitor students' progress and provide students and teachers with assistance in resolving any problems.,Core,66.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5193,Confer with parents and staff to discuss educational activities and policies and students' behavioral or learning problems.,Core,67.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5195,"Set educational standards and goals and help establish policies, procedures, and programs to carry them out.",Core,67.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5200,"Plan, direct, and monitor instructional methods and content of educational, vocational, or student activity programs.",Core,65.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5199,"Direct and coordinate activities of teachers or administrators at daycare centers, schools, public agencies, or institutions.",Core,66.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5194,"Prepare and maintain attendance, activity, planning, accounting, or personnel reports and records for officials and agencies, or direct preparation and maintenance activities.",Core,66.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5198,"Recruit, hire, train, and evaluate primary and supplemental staff and recommend personnel actions for programs and services.",Core,65.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5204,Teach classes or courses or provide direct care to children.,Core,65.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5197,"Determine allocations of funds for staff, supplies, materials, and equipment and authorize purchases.",Core,66.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5202,Determine the scope of educational program offerings and prepare drafts of program schedules and descriptions to estimate staffing and facility requirements.,Core,66.0,06/2010,Incumbent,Management Occupations
11-0000,"Education Administrators, Preschool and Childcare Center/Program",5203,"Review and evaluate new and current programs to determine their efficiency, effectiveness, and compliance with state, local, and federal regulations and recommend any necessary modifications.",Core,67.0,06/2010,Incumbent,Management Occupations
