,soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC Title
261,11-0000,"Financial Managers, Branch or Department",8885,Review collection reports to determine the status of collections and the amounts of outstanding balances.,Supplemental,86.0,07/2014,Incumbent,Management Occupations
262,11-0000,"Financial Managers, Branch or Department",8884,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",Supplemental,86.0,07/2014,Incumbent,Management Occupations
263,11-0000,"Financial Managers, Branch or Department",8888,"Plan, direct, and coordinate risk and insurance programs of establishments to control risks and losses.",Supplemental,86.0,07/2014,Incumbent,Management Occupations
264,11-0000,"Financial Managers, Branch or Department",8893,Review reports of securities transactions or price lists to analyze market conditions.,Supplemental,85.0,07/2014,Incumbent,Management Occupations
265,11-0000,"Financial Managers, Branch or Department",8895,"Direct insurance negotiations, select insurance brokers or carriers, and place insurance.",Supplemental,86.0,07/2014,Incumbent,Management Occupations
266,11-0000,"Financial Managers, Branch or Department",8889,Submit delinquent accounts to attorneys or outside agencies for collection.,Supplemental,86.0,07/2014,Incumbent,Management Occupations
267,11-0000,Industrial Production Managers,34,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",Core,117.0,07/2013,Incumbent,Management Occupations
268,11-0000,Industrial Production Managers,32,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",Core,116.0,07/2013,Incumbent,Management Occupations
269,11-0000,Industrial Production Managers,40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports, to detect production problems.",Core,118.0,07/2013,Incumbent,Management Occupations
270,11-0000,Industrial Production Managers,35,Review operations and confer with technical or administrative staff to resolve production or processing problems.,Core,117.0,07/2013,Incumbent,Management Occupations
271,11-0000,Industrial Production Managers,36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",Core,117.0,07/2013,Incumbent,Management Occupations
272,11-0000,Industrial Production Managers,38,Prepare and maintain production reports or personnel records.,Core,117.0,07/2013,Incumbent,Management Occupations
273,11-0000,Industrial Production Managers,39,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.",Core,118.0,07/2013,Incumbent,Management Occupations
274,11-0000,Industrial Production Managers,33,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",Core,117.0,07/2013,Incumbent,Management Occupations
275,11-0000,Industrial Production Managers,37,Initiate or coordinate inventory or cost control programs.,Core,117.0,07/2013,Incumbent,Management Occupations
276,11-0000,Industrial Production Managers,43,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",Core,118.0,07/2013,Incumbent,Management Occupations
277,11-0000,Industrial Production Managers,41,Review plans and confer with research or support staff to develop new products or processes.,Core,118.0,07/2013,Incumbent,Management Occupations
278,11-0000,Industrial Production Managers,42,Institute employee suggestion or involvement programs.,Core,117.0,07/2013,Incumbent,Management Occupations
279,11-0000,Industrial Production Managers,44,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies.",Core,117.0,07/2013,Incumbent,Management Occupations
280,11-0000,Industrial Production Managers,45,Negotiate materials prices with suppliers.,Supplemental,118.0,07/2013,Incumbent,Management Occupations
281,11-0000,Quality Control Systems Managers,15411,Collect and analyze production samples to evaluate quality.,Core,60.0,07/2012,Incumbent,Management Occupations
282,11-0000,Quality Control Systems Managers,15428,Analyze quality control test results and provide feedback and interpretation to production management or staff.,Core,60.0,07/2012,Incumbent,Management Occupations
283,11-0000,Quality Control Systems Managers,15405,Stop production if serious product defects are present.,Core,60.0,07/2012,Incumbent,Management Occupations
284,11-0000,Quality Control Systems Managers,15430,Monitor performance of quality control systems to ensure effectiveness and efficiency.,Core,60.0,07/2012,Incumbent,Management Occupations
285,11-0000,Quality Control Systems Managers,15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",Core,60.0,07/2012,Incumbent,Management Occupations
286,11-0000,Quality Control Systems Managers,15421,Instruct staff in quality control and analytical procedures.,Core,60.0,07/2012,Incumbent,Management Occupations
287,11-0000,Quality Control Systems Managers,15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Core,60.0,07/2012,Incumbent,Management Occupations
288,11-0000,Quality Control Systems Managers,15417,Participate in the development of product specifications.,Core,60.0,07/2012,Incumbent,Management Occupations
289,11-0000,Quality Control Systems Managers,15407,"Review statistical studies, technological advances, or regulatory standards and trends to stay abreast of issues in the field of quality control.",Core,60.0,07/2012,Incumbent,Management Occupations
290,11-0000,Quality Control Systems Managers,15422,Identify critical points in the manufacturing process and specify sampling procedures to be used at these points.,Core,60.0,07/2012,Incumbent,Management Occupations
291,11-0000,Quality Control Systems Managers,15425,Create and implement inspection and testing criteria or procedures.,Core,60.0,07/2012,Incumbent,Management Occupations
292,11-0000,Quality Control Systems Managers,15429,"Oversee workers including supervisors, inspectors, or laboratory workers engaged in testing activities.",Core,60.0,07/2012,Incumbent,Management Occupations
293,11-0000,Quality Control Systems Managers,15423,"Document testing procedures, methodologies, or criteria.",Core,60.0,07/2012,Incumbent,Management Occupations
294,11-0000,Quality Control Systems Managers,15415,Review and update standard operating procedures or quality assurance manuals.,Core,60.0,07/2012,Incumbent,Management Occupations
295,11-0000,Quality Control Systems Managers,15420,Identify quality problems or areas for improvement and recommend solutions.,Core,60.0,07/2012,Incumbent,Management Occupations
296,11-0000,Quality Control Systems Managers,15413,"Verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards.",Core,60.0,07/2012,Incumbent,Management Occupations
297,11-0000,Quality Control Systems Managers,15414,Review quality documentation necessary for regulatory submissions and inspections.,Core,60.0,07/2012,Incumbent,Management Occupations
298,11-0000,Quality Control Systems Managers,15408,Generate and maintain quality control operating budgets.,Core,60.0,07/2012,Incumbent,Management Occupations
299,11-0000,Quality Control Systems Managers,15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",Core,60.0,07/2012,Incumbent,Management Occupations
300,11-0000,Quality Control Systems Managers,15409,Evaluate new testing and sampling methodologies or technologies to determine usefulness.,Core,60.0,07/2012,Incumbent,Management Occupations
301,11-0000,Quality Control Systems Managers,15431,Direct product testing activities throughout production cycles.,Core,59.0,07/2012,Incumbent,Management Occupations
302,11-0000,Quality Control Systems Managers,15419,"Instruct vendors or contractors on quality guidelines, testing procedures, or ways to eliminate deficiencies.",Core,60.0,07/2012,Incumbent,Management Occupations
303,11-0000,Quality Control Systems Managers,15410,Coordinate the selection and implementation of quality control equipment such as inspection gauges.,Core,60.0,07/2012,Incumbent,Management Occupations
304,11-0000,Quality Control Systems Managers,15418,Monitor development of new products to help identify possible problems for mass production.,Supplemental,60.0,07/2012,Incumbent,Management Occupations
305,11-0000,Quality Control Systems Managers,15426,Confer with marketing and sales departments to define client requirements and expectations.,Supplemental,60.0,07/2012,Incumbent,Management Occupations
306,11-0000,Quality Control Systems Managers,15406,Review and approve quality plans submitted by contractors.,Supplemental,59.0,07/2012,Incumbent,Management Occupations
307,11-0000,Quality Control Systems Managers,15412,Audit and inspect subcontractor facilities including external laboratories.,Supplemental,60.0,07/2012,Incumbent,Management Occupations
308,11-0000,Geothermal Production Managers,15446,Supervise employees in geothermal power plants or well fields.,Core,51.0,07/2011,Incumbent,Management Occupations
309,11-0000,Geothermal Production Managers,15447,"Oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations.",Core,50.0,07/2011,Incumbent,Management Occupations
310,11-0000,Geothermal Production Managers,15434,Communicate geothermal plant conditions to employees.,Core,51.0,07/2011,Incumbent,Management Occupations
311,11-0000,Geothermal Production Managers,15443,"Identify and evaluate equipment, procedural, or conditional inefficiencies involving geothermal plant systems.",Core,51.0,07/2011,Incumbent,Management Occupations
312,11-0000,Geothermal Production Managers,15439,Perform or direct the performance of preventative maintenance on geothermal plant equipment.,Core,51.0,07/2011,Incumbent,Management Occupations
313,11-0000,Geothermal Production Managers,15448,Inspect geothermal plant or injection well fields to verify proper equipment operations.,Core,51.0,07/2011,Incumbent,Management Occupations
314,11-0000,Geothermal Production Managers,15445,Develop or manage budgets for geothermal operations.,Core,52.0,07/2011,Incumbent,Management Occupations
315,11-0000,Geothermal Production Managers,15433,Select and implement corrosion control or mitigation systems for geothermal plants.,Core,51.0,07/2011,Incumbent,Management Occupations
316,11-0000,Geothermal Production Managers,15444,Develop operating plans and schedules for geothermal operations.,Core,52.0,07/2011,Incumbent,Management Occupations
317,11-0000,Geothermal Production Managers,15436,"Record, review or maintain daily logs, reports, maintenance, and other records associated with geothermal operations.",Core,51.0,07/2011,Incumbent,Management Occupations
318,11-0000,Geothermal Production Managers,15441,"Monitor geothermal operations, using programmable logic controllers.",Core,51.0,07/2011,Incumbent,Management Occupations
319,11-0000,Geothermal Production Managers,15432,Conduct well field site assessments.,Core,51.0,07/2011,Incumbent,Management Occupations
320,11-0000,Geothermal Production Managers,15442,"Identify opportunities to improve plant electrical equipment, controls, or process control methodologies.",Core,51.0,07/2011,Incumbent,Management Occupations
321,11-0000,Geothermal Production Managers,15437,Prepare environmental permit applications or compliance reports.,Supplemental,52.0,07/2011,Incumbent,Management Occupations
322,11-0000,Geothermal Production Managers,15440,Negotiate interconnection agreements with other utilities.,Supplemental,50.0,07/2011,Incumbent,Management Occupations
323,11-0000,Geothermal Production Managers,15438,"Obtain permits for constructing, upgrading, or operating geothermal power plants.",Supplemental,52.0,07/2011,Incumbent,Management Occupations
324,11-0000,Geothermal Production Managers,15435,Troubleshoot and make minor repairs to geothermal plant instrumentation or electrical systems.,Supplemental,51.0,07/2011,Incumbent,Management Occupations
325,11-0000,Biofuels Production Managers,15462,"Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.",,,06/2009,Analyst,Management Occupations
326,11-0000,Biofuels Production Managers,15461,"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",,,06/2009,Analyst,Management Occupations
327,11-0000,Biofuels Production Managers,15460,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",,,06/2009,Analyst,Management Occupations
328,11-0000,Biofuels Production Managers,15459,"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",,,06/2009,Analyst,Management Occupations
329,11-0000,Biofuels Production Managers,15458,"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",,,06/2009,Analyst,Management Occupations
330,11-0000,Biofuels Production Managers,15457,Prepare and manage biofuels plant or unit budgets.,,,06/2009,Analyst,Management Occupations
331,11-0000,Biofuels Production Managers,15456,"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",,,06/2009,Analyst,Management Occupations
332,11-0000,Biofuels Production Managers,15455,"Shut down and restart biofuels plant or equipment in emergency situations or for equipment maintenance, repairs, or replacements.",,,06/2009,Analyst,Management Occupations
333,11-0000,Biofuels Production Managers,15454,"Supervise production employees in the manufacturing of biofuels, such as biodiesel or ethanol.",,,06/2009,Analyst,Management Occupations
334,11-0000,Biofuels Production Managers,15453,"Confer with technical and supervisory personnel to report or resolve conditions affecting biofuels plant safety, operational efficiency, and product quality.",,,06/2009,Analyst,Management Occupations
335,11-0000,Biofuels Production Managers,15452,Draw samples of biofuels products or secondary by-products for quality control testing.,,,06/2009,Analyst,Management Occupations
336,11-0000,Biofuels Production Managers,15451,Monitor transportation and storage of flammable or other potentially dangerous feedstocks or products to ensure adherence to safety guidelines.,,,06/2009,Analyst,Management Occupations
337,11-0000,Biofuels Production Managers,15450,"Provide direction to employees to ensure compliance with biofuels plant safety, environmental, or operational standards and regulations.",,,06/2009,Analyst,Management Occupations
338,11-0000,Biofuels Production Managers,15449,Provide training to subordinate or new employees to improve biofuels plant safety or increase the production of biofuels.,,,06/2009,Analyst,Management Occupations
339,11-0000,Biomass Power Plant Managers,15470,"Review logs, datasheets, or reports to ensure adequate production levels and safe production environments or to identify abnormalities with power production equipment or processes.",Core,138.0,07/2012,Incumbent,Management Occupations
340,11-0000,Biomass Power Plant Managers,15471,Review biomass operations performance specifications to ensure compliance with regulatory requirements.,Core,137.0,07/2012,Incumbent,Management Occupations
341,11-0000,Biomass Power Plant Managers,15478,"Supervise biomass plant or substation operations, maintenance, repair, or testing activities.",Core,138.0,07/2012,Incumbent,Management Occupations
342,11-0000,Biomass Power Plant Managers,15473,Prepare and manage biomass plant budgets.,Core,137.0,07/2012,Incumbent,Management Occupations
343,11-0000,Biomass Power Plant Managers,15468,"Supervise operations or maintenance employees in the production of power from biomass such as wood, coal, paper sludge, or other waste or refuse.",Core,137.0,07/2012,Incumbent,Management Occupations
344,11-0000,Biomass Power Plant Managers,15479,"Monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators.",Core,137.0,07/2012,Incumbent,Management Occupations
345,11-0000,Biomass Power Plant Managers,15476,"Inspect biomass gasification processes, equipment, and facilities for ways to maximize capacity and minimize operating costs.",Core,138.0,07/2012,Incumbent,Management Occupations
346,11-0000,Biomass Power Plant Managers,15480,"Conduct field inspections of biomass plants, stations, or substations to ensure normal and safe operating conditions.",Core,137.0,07/2012,Incumbent,Management Occupations
347,11-0000,Biomass Power Plant Managers,15474,"Plan and schedule plant activities such as wood, waste, or refuse fuel deliveries, ash removal, and regular maintenance.",Core,138.0,07/2012,Incumbent,Management Occupations
348,11-0000,Biomass Power Plant Managers,15477,Evaluate power production or demand trends to identify opportunities for improved operations.,Core,137.0,07/2012,Incumbent,Management Occupations
349,11-0000,Biomass Power Plant Managers,15472,"Prepare reports on biomass plant operations, status, maintenance, and other information.",Core,137.0,07/2012,Incumbent,Management Occupations
350,11-0000,Biomass Power Plant Managers,15464,Manage parts and supply inventories for biomass plants.,Core,137.0,07/2012,Incumbent,Management Occupations
351,11-0000,Biomass Power Plant Managers,15465,"Monitor and operate communications systems, such as mobile radios.",Core,137.0,07/2012,Incumbent,Management Occupations
352,11-0000,Biomass Power Plant Managers,15466,Compile and record operational data on forms or in log books.,Supplemental,137.0,07/2012,Incumbent,Management Occupations
353,11-0000,Biomass Power Plant Managers,15469,"Shut down and restart biomass power plants or equipment in emergency situations or for equipment maintenance, repairs, or replacements.",Supplemental,137.0,07/2012,Incumbent,Management Occupations
354,11-0000,Biomass Power Plant Managers,15463,"Test, maintain, or repair electrical power distribution machinery or equipment, using hand tools, power tools, and testing devices.",Supplemental,138.0,07/2012,Incumbent,Management Occupations
355,11-0000,Biomass Power Plant Managers,15467,Adjust equipment controls to generate specified amounts of electrical power.,Supplemental,137.0,07/2012,Incumbent,Management Occupations
356,11-0000,Biomass Power Plant Managers,15475,"Operate controls to start, stop, or regulate biomass-fueled generators, generator units, boilers, engines, or auxiliary systems.",Supplemental,138.0,07/2012,Incumbent,Management Occupations
357,11-0000,Methane/Landfill Gas Collection System Operators,15501,Monitor and control liquid or gas landfill extraction systems.,,,06/2009,Analyst,Management Occupations
358,11-0000,Methane/Landfill Gas Collection System Operators,15500,"Oversee gas collection landfill operations, including leachate and gas management or rail operations.",,,06/2009,Analyst,Management Occupations
359,11-0000,Methane/Landfill Gas Collection System Operators,15498,"Develop or enforce procedures for normal operation, start-up, or shut-down of methane gas collection systems.",,,06/2009,Analyst,Management Occupations
360,11-0000,Methane/Landfill Gas Collection System Operators,15499,Evaluate landfill gas collection service requirements to meet operational plans and productivity goals.,,,06/2009,Analyst,Management Occupations
361,11-0000,Methane/Landfill Gas Collection System Operators,15497,Implement landfill operational and emergency procedures.,,,06/2009,Analyst,Management Occupations
362,11-0000,Methane/Landfill Gas Collection System Operators,15496,Inspect landfill or conduct site audits to ensure adherence to safety and environmental regulations.,,,06/2009,Analyst,Management Occupations
363,11-0000,Methane/Landfill Gas Collection System Operators,15495,"Maintain records for landfill gas collection systems to demonstrate compliance with safety and environmental laws, regulations, or policies.",,,06/2009,Analyst,Management Occupations
364,11-0000,Methane/Landfill Gas Collection System Operators,15494,"Monitor gas collection systems emissions data, including biomethane or nitrous oxide levels.",,,06/2009,Analyst,Management Occupations
365,11-0000,Methane/Landfill Gas Collection System Operators,15492,Monitor landfill permit requirements for updates.,,,06/2009,Analyst,Management Occupations
366,11-0000,Methane/Landfill Gas Collection System Operators,15493,Operate computerized control panels to manage gas compression operations.,,,06/2009,Analyst,Management Occupations
367,11-0000,Methane/Landfill Gas Collection System Operators,15491,Optimize gas collection landfill operational costs and productivity consistent with safety and environmental rules and regulations.,,,06/2009,Analyst,Management Occupations
368,11-0000,Methane/Landfill Gas Collection System Operators,15490,"Oversee landfill gas collection system construction, maintenance, and repair activities.",,,06/2009,Analyst,Management Occupations
369,11-0000,Methane/Landfill Gas Collection System Operators,15488,Prepare and manage landfill gas collection system budgets.,,,06/2009,Analyst,Management Occupations
370,11-0000,Methane/Landfill Gas Collection System Operators,15489,Prepare soil reports as required by regulatory or permitting agencies.,,,06/2009,Analyst,Management Occupations
371,11-0000,Methane/Landfill Gas Collection System Operators,15487,"Supervise landfill, well field, and other subordinate employees.",,,06/2009,Analyst,Management Occupations
372,11-0000,Methane/Landfill Gas Collection System Operators,15486,"Read meters, gauges, or automatic recording devices at specified intervals to verify gas collection systems operating conditions.",,,06/2009,Analyst,Management Occupations
373,11-0000,Methane/Landfill Gas Collection System Operators,15485,"Coordinate the repair, overhaul, or routine maintenance of diesel engines used in landfill operations.",,,06/2009,Analyst,Management Occupations
374,11-0000,Methane/Landfill Gas Collection System Operators,15484,Diagnose or troubleshoot gas collection equipment and programmable logic controller (PLC) systems.,,,06/2009,Analyst,Management Occupations
375,11-0000,Methane/Landfill Gas Collection System Operators,15483,Prepare reports on landfill operations and gas collection system productivity or efficiency.,,,06/2009,Analyst,Management Occupations
376,11-0000,Methane/Landfill Gas Collection System Operators,15482,Recommend or implement practices to reduce turnaround time for trucks in and out of landfill site.,,,06/2009,Analyst,Management Occupations
377,11-0000,Methane/Landfill Gas Collection System Operators,15481,Track volume and weight of landfill waste.,,,06/2009,Analyst,Management Occupations
378,11-0000,Hydroelectric Production Managers,15520,"Direct operations, maintenance, or repair of hydroelectric power facilities.",,,06/2009,Analyst,Management Occupations
379,11-0000,Hydroelectric Production Managers,15519,Supervise or monitor hydroelectric facility operations to ensure that generation or mechanical equipment conform to applicable regulations or standards.,,,06/2009,Analyst,Management Occupations
380,11-0000,Hydroelectric Production Managers,15518,"Check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.",,,06/2009,Analyst,Management Occupations
381,11-0000,Hydroelectric Production Managers,15517,Create or enforce hydrostation voltage schedules.,,,06/2009,Analyst,Management Occupations
382,11-0000,Hydroelectric Production Managers,15516,"Develop or review budgets, annual plans, power contracts, power rates, standing operating procedures, power reviews, or engineering studies.",,,06/2009,Analyst,Management Occupations
383,11-0000,Hydroelectric Production Managers,15515,Identify and communicate power system emergencies.,,,06/2009,Analyst,Management Occupations
384,11-0000,Hydroelectric Production Managers,15514,"Inspect hydroelectric facilities, including switchyards, control houses, or relay houses, for normal operation or adherence to safety standards.",,,06/2009,Analyst,Management Occupations
385,11-0000,Hydroelectric Production Managers,15512,"Maintain records of hydroelectric facility operations, maintenance, or repairs.",,,06/2009,Analyst,Management Occupations
386,11-0000,Hydroelectric Production Managers,15513,"Monitor or inspect hydroelectric equipment, such as hydro-turbines, generators, or control systems.",,,06/2009,Analyst,Management Occupations
387,11-0000,Hydroelectric Production Managers,15511,Negotiate power generation contracts with other public or private utilities.,,,06/2009,Analyst,Management Occupations
388,11-0000,Hydroelectric Production Managers,15510,"Operate energized high- or low-voltage hydroelectric power transmission system substations, according to procedures and safety requirements.",,,06/2009,Analyst,Management Occupations
389,11-0000,Hydroelectric Production Managers,15509,Perform or direct preventive or corrective containment or cleanup to protect the environment.,,,06/2009,Analyst,Management Occupations
390,11-0000,Hydroelectric Production Managers,15508,Plan or coordinate hydroelectric production operations to meet customer requirements.,,,06/2009,Analyst,Management Occupations
391,11-0000,Hydroelectric Production Managers,15507,Plan or manage hydroelectric plant upgrades.,,,06/2009,Analyst,Management Occupations
392,11-0000,Hydroelectric Production Managers,15506,"Respond to problems related to ratepayers, water users, power users, government agencies, educational institutions, or other private or public power resource interests.",,,06/2009,Analyst,Management Occupations
393,11-0000,Hydroelectric Production Managers,15505,"Supervise hydropower plant equipment installations, upgrades, or maintenance.",,,06/2009,Analyst,Management Occupations
394,11-0000,Hydroelectric Production Managers,15504,"Develop or implement projects to improve efficiency, economy, or effectiveness of hydroelectric plant operations.",,,06/2009,Analyst,Management Occupations
395,11-0000,Hydroelectric Production Managers,15502,Develop or implement policy evaluation procedures for hydroelectric generation activities.,,,06/2009,Analyst,Management Occupations
396,11-0000,Hydroelectric Production Managers,15503,Provide technical direction in the erection or commissioning of hydroelectric equipment or supporting electrical or mechanical systems.,,,06/2009,Analyst,Management Occupations
397,11-0000,Purchasing Managers,1030,Represent companies in negotiating contracts and formulating policies with suppliers.,Core,24.0,06/2009,Occupational Expert,Management Occupations
398,11-0000,Purchasing Managers,1032,"Direct and coordinate activities of personnel engaged in buying, selling, and distributing materials, equipment, machinery, and supplies.",Core,24.0,06/2009,Occupational Expert,Management Occupations
399,11-0000,Purchasing Managers,1024,"Interview and hire staff, and oversee staff training.",Core,24.0,06/2009,Occupational Expert,Management Occupations
400,11-0000,Purchasing Managers,1021,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",Core,24.0,06/2009,Occupational Expert,Management Occupations
401,11-0000,Purchasing Managers,1022,Prepare and process requisitions and purchase orders for supplies and equipment.,Core,24.0,06/2009,Occupational Expert,Management Occupations
402,11-0000,Purchasing Managers,1027,"Develop and implement purchasing and contract management instructions, policies, and procedures.",Core,24.0,06/2009,Occupational Expert,Management Occupations
403,11-0000,Purchasing Managers,1020,Maintain records of goods ordered and received.,Core,24.0,06/2009,Occupational Expert,Management Occupations
404,11-0000,Purchasing Managers,1028,"Participate in the development of specifications for equipment, products or substitute materials.",Core,24.0,06/2009,Occupational Expert,Management Occupations
405,11-0000,Purchasing Managers,1026,Analyze market and delivery systems to assess present and future material availability.,Core,24.0,06/2009,Occupational Expert,Management Occupations
406,11-0000,Purchasing Managers,1029,"Resolve vendor or contractor grievances, and claims against suppliers.",Core,24.0,06/2009,Occupational Expert,Management Occupations
407,11-0000,Purchasing Managers,1023,Control purchasing department budgets.,Core,24.0,06/2009,Occupational Expert,Management Occupations
408,11-0000,Purchasing Managers,1031,"Review, evaluate, and approve specifications for issuing and awarding bids.",Core,24.0,06/2009,Occupational Expert,Management Occupations
409,11-0000,Purchasing Managers,1025,Review purchase order claims and contracts for conformance to company policy.,Core,24.0,06/2009,Occupational Expert,Management Occupations
410,11-0000,Purchasing Managers,1035,Administer online purchasing systems.,Core,24.0,06/2009,Occupational Expert,Management Occupations
411,11-0000,Purchasing Managers,1034,Prepare reports regarding market conditions and merchandise costs.,Core,24.0,06/2009,Occupational Expert,Management Occupations
412,11-0000,Purchasing Managers,1033,Prepare bid awards requiring board approval.,Supplemental,24.0,06/2009,Occupational Expert,Management Occupations
413,11-0000,Purchasing Managers,1036,Arrange for disposal of surplus materials.,Supplemental,24.0,06/2009,Occupational Expert,Management Occupations
414,11-0000,Transportation Managers,1038,"Plan, organize, or manage the work of subordinate staff to ensure that the work is accomplished in a manner consistent with organizational requirements.",Core,96.0,07/2014,Incumbent,Management Occupations
415,11-0000,Transportation Managers,1037,"Direct activities related to dispatching, routing, or tracking transportation vehicles, such as aircraft or railroad cars.",Core,96.0,07/2014,Incumbent,Management Occupations
416,11-0000,Transportation Managers,20464,"Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations.",Core,98.0,07/2014,Incumbent,Management Occupations
417,11-0000,Transportation Managers,1040,Serve as contact persons for all workers within assigned territories.,Core,96.0,07/2014,Incumbent,Management Occupations
418,11-0000,Transportation Managers,20465,Implement schedule or policy changes for transportation services.,Core,98.0,07/2014,Incumbent,Management Occupations
419,11-0000,Transportation Managers,1046,Monitor spending to ensure that expenses are consistent with approved budgets.,Core,96.0,07/2014,Incumbent,Management Occupations
420,11-0000,Transportation Managers,1044,"Promote safe work activities by conducting safety audits, attending company safety meetings, or meeting with individual staff members.",Core,97.0,07/2014,Incumbent,Management Occupations
421,11-0000,Transportation Managers,1055,"Prepare management recommendations, such as proposed fee and tariff increases or schedule changes.",Core,98.0,07/2014,Incumbent,Management Occupations
422,11-0000,Transportation Managers,1039,Direct investigations to verify and resolve customer or shipper complaints.,Core,96.0,07/2014,Incumbent,Management Occupations
423,11-0000,Transportation Managers,20466,"Direct or coordinate the activities of operations department to obtain use of equipment, facilities, or human resources.",Core,96.0,07/2014,Incumbent,Management Occupations
424,11-0000,Transportation Managers,1050,"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",Core,96.0,07/2014,Incumbent,Management Occupations
425,11-0000,Transportation Managers,1042,"Collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives.",Core,96.0,07/2014,Incumbent,Management Occupations
426,11-0000,Transportation Managers,19510,"Plan or implement energy saving changes to transportation services, such as reducing routes, optimizing capacities, employing alternate modes of transportation, or minimizing idling.",Core,97.0,07/2014,Incumbent,Management Occupations
427,11-0000,Transportation Managers,20467,"Direct staff performing repairs and maintenance to equipment, vehicles, or facilities.",Core,97.0,07/2014,Incumbent,Management Occupations
428,11-0000,Transportation Managers,1056,"Conduct employee training sessions on subjects such as hazardous material handling, employee orientation, quality improvement, or computer use.",Core,96.0,07/2014,Incumbent,Management Occupations
429,11-0000,Transportation Managers,1054,Recommend or authorize capital expenditures for acquisition of new equipment or property to increase efficiency and services of operations department.,Core,96.0,07/2014,Incumbent,Management Occupations
430,11-0000,Transportation Managers,20468,"Conduct investigations in cooperation with government agencies to determine causes of transportation accidents, coordinate cleanup activities, or improve safety procedures.",Supplemental,96.0,07/2014,Incumbent,Management Occupations
431,11-0000,Transportation Managers,1053,"Set operations policies and standards, including determining safety procedures for the handling of dangerous goods.",Supplemental,97.0,07/2014,Incumbent,Management Occupations
432,11-0000,Transportation Managers,1045,"Develop criteria, application instructions, procedural manuals, or contracts for federal or state public transportation programs.",Supplemental,98.0,07/2014,Incumbent,Management Occupations
433,11-0000,Transportation Managers,19506,Develop or implement plans to improve transportation services control from regional to national or global load control center operations.,Supplemental,96.0,07/2014,Incumbent,Management Occupations
434,11-0000,Transportation Managers,19507,Direct central load control centers to maximize efficiency and effectiveness of transportation services.,Supplemental,96.0,07/2014,Incumbent,Management Occupations
435,11-0000,Transportation Managers,20469,Supervise clerks assigning tariff classifications or preparing billing.,Supplemental,98.0,07/2014,Incumbent,Management Occupations
436,11-0000,Transportation Managers,20470,"Negotiate, authorize, or monitor fulfillment of contracts with equipment or materials suppliers.",Supplemental,95.0,07/2014,Incumbent,Management Occupations
437,11-0000,Transportation Managers,19508,Evaluate transportation vehicles or auxiliary equipment for purchase by considering factors such as fuel economy or aerodynamics.,Supplemental,97.0,07/2014,Incumbent,Management Occupations
438,11-0000,Transportation Managers,19509,Identify or select transportation and communications system technologies to reduce costs or environmental impacts.,Supplemental,97.0,07/2014,Incumbent,Management Occupations
439,11-0000,Transportation Managers,1058,Provide administrative or technical assistance to those receiving transportation-related grants.,Supplemental,98.0,07/2014,Incumbent,Management Occupations
440,11-0000,Transportation Managers,1059,"Direct procurement processes including equipment research and testing, vendor contracts, or requisitions approval.",Supplemental,97.0,07/2014,Incumbent,Management Occupations
441,11-0000,Transportation Managers,20471,Participate in union contract negotiations or grievance settlements.,Supplemental,96.0,07/2014,Incumbent,Management Occupations
442,11-0000,Storage and Distribution Managers,3304,Prepare and manage departmental budgets.,Core,24.0,06/2008,Occupational Expert,Management Occupations
